GEOID2,GEOID,GEO_display-label,HD01_VD01,HD02_VD01
1500000US250173001001,250173001001,"Block Group 1, Census Tract 3001, Middlesex County, Massachusetts",1803,198
1500000US250173001002,250173001002,"Block Group 2, Census Tract 3001, Middlesex County, Massachusetts",1392,195
1500000US250173011011,250173011011,"Block Group 1, Census Tract 3011.01, Middlesex County, Massachusetts",1706,264
1500000US250173011012,250173011012,"Block Group 2, Census Tract 3011.01, Middlesex County, Massachusetts",1097,225
1500000US250173011013,250173011013,"Block Group 3, Census Tract 3011.01, Middlesex County, Massachusetts",1294,305
1500000US250173011021,250173011021,"Block Group 1, Census Tract 3011.02, Middlesex County, Massachusetts",1502,255
1500000US250173011022,250173011022,"Block Group 2, Census Tract 3011.02, Middlesex County, Massachusetts",2190,311
1500000US250173011023,250173011023,"Block Group 3, Census Tract 3011.02, Middlesex County, Massachusetts",1629,270
1500000US250173101001,250173101001,"Block Group 1, Census Tract 3101, Middlesex County, Massachusetts",1440,364
1500000US250173101002,250173101002,"Block Group 2, Census Tract 3101, Middlesex County, Massachusetts",1910,284
1500000US250173101003,250173101003,"Block Group 3, Census Tract 3101, Middlesex County, Massachusetts",2574,449
1500000US250173102001,250173102001,"Block Group 1, Census Tract 3102, Middlesex County, Massachusetts",1214,832
1500000US250173102002,250173102002,"Block Group 2, Census Tract 3102, Middlesex County, Massachusetts",620,268
1500000US250173102003,250173102003,"Block Group 3, Census Tract 3102, Middlesex County, Massachusetts",3007,975
1500000US250173102004,250173102004,"Block Group 4, Census Tract 3102, Middlesex County, Massachusetts",1172,457
1500000US250173102005,250173102005,"Block Group 5, Census Tract 3102, Middlesex County, Massachusetts",858,422
1500000US250173103001,250173103001,"Block Group 1, Census Tract 3103, Middlesex County, Massachusetts",1818,621
1500000US250173103002,250173103002,"Block Group 2, Census Tract 3103, Middlesex County, Massachusetts",1884,875
1500000US250173103003,250173103003,"Block Group 3, Census Tract 3103, Middlesex County, Massachusetts",1184,544
1500000US250173103004,250173103004,"Block Group 4, Census Tract 3103, Middlesex County, Massachusetts",787,487
1500000US250173103005,250173103005,"Block Group 5, Census Tract 3103, Middlesex County, Massachusetts",1020,435
1500000US250173104001,250173104001,"Block Group 1, Census Tract 3104, Middlesex County, Massachusetts",1213,375
1500000US250173104002,250173104002,"Block Group 2, Census Tract 3104, Middlesex County, Massachusetts",1274,351
1500000US250173104003,250173104003,"Block Group 3, Census Tract 3104, Middlesex County, Massachusetts",839,317
1500000US250173105001,250173105001,"Block Group 1, Census Tract 3105, Middlesex County, Massachusetts",700,198
1500000US250173105002,250173105002,"Block Group 2, Census Tract 3105, Middlesex County, Massachusetts",1708,375
1500000US250173105003,250173105003,"Block Group 3, Census Tract 3105, Middlesex County, Massachusetts",1058,294
1500000US250173106011,250173106011,"Block Group 1, Census Tract 3106.01, Middlesex County, Massachusetts",2982,611
1500000US250173106012,250173106012,"Block Group 2, Census Tract 3106.01, Middlesex County, Massachusetts",3060,544
1500000US250173106013,250173106013,"Block Group 3, Census Tract 3106.01, Middlesex County, Massachusetts",367,189
1500000US250173106021,250173106021,"Block Group 1, Census Tract 3106.02, Middlesex County, Massachusetts",1444,334
1500000US250173106022,250173106022,"Block Group 2, Census Tract 3106.02, Middlesex County, Massachusetts",1616,434
1500000US250173106023,250173106023,"Block Group 3, Census Tract 3106.02, Middlesex County, Massachusetts",559,326
1500000US250173106024,250173106024,"Block Group 4, Census Tract 3106.02, Middlesex County, Massachusetts",1798,554
1500000US250173107001,250173107001,"Block Group 1, Census Tract 3107, Middlesex County, Massachusetts",1323,276
1500000US250173107002,250173107002,"Block Group 2, Census Tract 3107, Middlesex County, Massachusetts",1427,299
1500000US250173107003,250173107003,"Block Group 3, Census Tract 3107, Middlesex County, Massachusetts",2130,389
